Team,Year,Payroll,Payroll_prev_year,Attendance,Attendance_prev_year,Wins,Wins_prev_year,Avg_payroll,Avg_payroll_prev_year
Milwaukee Brewers,2004,39.93,27.53,2062382,1700354,67,68,73.06,69.04
Minnesota Twins,2004,56.19,53.59,1879222,1946011,92,90,73.06,69.04
New York Mets,2004,101.31,96.66,2318321,2140599,71,66,73.06,69.04
New York Yankees,2004,208.31,184.19,3775292,3465600,101,101,73.06,69.04
Oakland Athletics,2004,55.43,59.43,2201516,2216596,91,96,73.06,69.04
Philadelphia Phillies,2004,95.52,93.22,3250092,2259948,86,86,73.06,69.04
Pittsburgh Pirates,2004,38.13,32.23,1583031,1636751,72,75,73.06,69.04
San Diego Padres,2004,63.29,55.38,3016752,2030084,87,64,73.06,69.04
San Francisco Giants,2004,90.2,82.02,3258864,3264898,91,100,73.06,69.04
Seattle Mariners,2004,87.75,81.52,2940731,3268509,63,93,73.06,69.04
St. Louis Cardinals,2004,92.11,83.23,3048427,2910386,105,85,73.06,69.04
Tampa Bay Rays,2004,29.68,29.56,1275011,1058695,70,63,73.06,69.04
Texas Rangers,2004,55.85,55.05,2513685,2094394,89,71,73.06,69.04
Toronto Blue Jays,2004,45.72,50.02,1900041,1799458,67,86,73.06,69.04
Washington Nationals,2004,48.58,41.2,748550,1025639,67,83,73.06,69.04
